,FNR_Gap,FNR_Gap,FNR_Gap,FNR_Gap,FPR_Gap,FPR_Gap,FPR_Gap,FPR_Gap
Model,Adaptive BERT,HateBERT+CDA+Asym,LR Baseline,Vanilla BERT,Adaptive BERT,HateBERT+CDA+Asym,LR Baseline,Vanilla BERT
Identity,,,,,,,,
black,0.0426,0.0256,0.0668,0.0168,0.7461,0.4727,0.2461,0.7812
christian,0.0557,0.0504,0.0303,0.0149,0.14,0.016,0.008,0.072
female,0.0242,0.0334,0.0339,0.0179,0.1429,0.2814,0.0086,0.1416
homosexual_gay_or_lesbian,0.0678,0.0623,0.0372,0.0372,0.5,0.3512,0.121,0.2778
male,0.0061,0.0364,0.0788,0.0121,0.2374,0.2604,0.0357,0.2757
muslim,0.0366,0.0042,0.0303,0.0774,0.4108,0.0499,0.0079,0.4462
white,0.0211,0.0983,0.0267,0.0267,0.5304,0.4291,0.0729,0.4858
